lon,lat,time,EPV,H,O3,OMEGA,PHIS,PS,QI,QL,QV,RH,SLP,T,U,V
-120.0,17.5,2022-03-31,8.9632124e-08,5842.54,5.8015203e-08,0.10288483,0.0,101545.23,3.1432137e-08,1.1436641e-06,0.0026826859,0.7277832,101548.0,264.14856,11.121562,9.474094
-120.0,17.5,2022-04-30,6.3269e-08,5833.954,5.842014e-08,0.052336603,0.0,101499.33,9.537325e-08,1.6009435e-06,0.0029039383,0.7805176,101495.61,264.20404,11.853301,7.8325
-120.0,17.5,2022-05-31,-1.7964311e-08,5831.874,5.9052788e-08,0.1157487,0.0,101431.52,8.0966856e-08,1.3522804e-06,0.003019333,0.80517584,101427.36,264.25784,12.256588,5.6780586
-120.0,17.5,2022-06-30,-5.1750064e-08,5841.975,5.9743186e-08,-0.028321445,0.0,101621.25,7.884228e-08,1.2540258e-06,0.0032291424,0.85668963,101619.69,264.2568,10.221954,6.0483313
-120.0,17.5,2022-07-31,-4.194078e-08,5858.4937,6.056304e-08,0.04713133,0.0,101768.805,8.227653e-08,1.036562e-06,0.0032901948,0.8430307,101772.05,264.67087,8.724064,5.401808
-120.0,17.5,2022-08-31,4.4982414e-08,5843.3706,6.138861e-08,0.067584634,0.0,101508.93,4.7890353e-08,4.5832712e-07,0.0032930393,0.79931694,101512.71,265.32825,8.604935,2.9669425
-120.0,18.0,2022-01-31,3.103844e-08,5812.539,6.389044e-08,0.03872356,0.0,101315.93,2.2773747e-08,9.1939e-08,0.0027208333,0.7365724,101315.836,264.16595,13.137324,9.1462555
-120.0,18.0,2022-02-28,7.0307436e-08,5829.508,5.6902117e-08,-0.04668811,0.0,101510.29,3.6479264e-11,3.815512e-08,0.002094272,0.5622565,101508.38,264.18115,11.53414,10.812617
-120.0,18.0,2022-03-31,8.776948e-08,5839.04,5.7971548e-08,0.074320376,0.0,101585.23,7.7102413e-10,1.4941907e-07,0.0023679733,0.6411133,101586.0,264.172,13.111796,10.188938
-120.0,18.0,2022-04-30,7.6540346e-08,5831.204,5.8391038e-08,0.021086603,0.0,101531.33,3.5724952e-08,6.5844506e-07,0.0027074814,0.732666,101534.61,264.13373,13.767364,8.447734
